TIME: 3.141248, ROLL: 0.014135, PITCH: 0.023294, YAW: -0.000830, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.193995, ROLL: 0.014135, PITCH: 0.023294, YAW: -0.000830, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.246740, ROLL: 0.014135, PITCH: 0.023294, YAW: -0.000830, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.299577, ROLL: 0.014075, PITCH: 0.023218, YAW: -0.000843, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.352220, ROLL: 0.014075, PITCH: 0.023218, YAW: -0.000843, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.404892, ROLL: 0.014075, PITCH: 0.023218, YAW: -0.000843, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.457618, ROLL: 0.014075, PITCH: 0.023218, YAW: -0.000843, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.510584, ROLL: 0.013891, PITCH: 0.023234, YAW: -0.000857, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.563474, ROLL: 0.013891, PITCH: 0.023234, YAW: -0.000857, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.616843, ROLL: 0.013891, PITCH: 0.023234, YAW: -0.000857, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.669028, ROLL: 0.013891, PITCH: 0.023234, YAW: -0.000857, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.721812, ROLL: 0.013855, PITCH: 0.023238, YAW: -0.000840, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.774817, ROLL: 0.013855, PITCH: 0.023238, YAW: -0.000840, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.827327, ROLL: 0.013855, PITCH: 0.023238, YAW: -0.000840, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.879912, ROLL: 0.013855, PITCH: 0.023238, YAW: -0.000840, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.932757, ROLL: 0.013855, PITCH: 0.023238, YAW: -0.000840, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 3.985248, ROLL: 0.013839, PITCH: 0.023191, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.038024, ROLL: 0.013839, PITCH: 0.023191, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.090795, ROLL: 0.013839, PITCH: 0.023191, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.143496, ROLL: 0.013839, PITCH: 0.023191, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.196149, ROLL: 0.013839, PITCH: 0.023191, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.249063, ROLL: 0.013687, PITCH: 0.023327, YAW: -0.000812, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.301911, ROLL: 0.013687, PITCH: 0.023327, YAW: -0.000812, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.354582, ROLL: 0.013687, PITCH: 0.023327, YAW: -0.000812, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.407417, ROLL: 0.013804, PITCH: 0.023094, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.460152, ROLL: 0.013804, PITCH: 0.023094, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.512871, ROLL: 0.013804, PITCH: 0.023094, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.565573, ROLL: 0.013804, PITCH: 0.023094, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.618347, ROLL: 0.013984, PITCH: 0.023174, YAW: -0.000841, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.671088, ROLL: 0.013984, PITCH: 0.023174, YAW: -0.000841, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.723764, ROLL: 0.013984, PITCH: 0.023174, YAW: -0.000841, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.776656, ROLL: 0.013984, PITCH: 0.023174, YAW: -0.000841, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.829472, ROLL: 0.013984, PITCH: 0.023174, YAW: -0.000841, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.882373, ROLL: 0.013745, PITCH: 0.023315, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.934971, ROLL: 0.013745, PITCH: 0.023315, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 4.987838, ROLL: 0.013745, PITCH: 0.023315, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.040612, ROLL: 0.013745, PITCH: 0.023315, YAW: -0.000819, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.093533, ROLL: 0.013802, PITCH: 0.023260, YAW: -0.000826, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.146228, ROLL: 0.013802, PITCH: 0.023260, YAW: -0.000826, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.198965, ROLL: 0.014010, PITCH: 0.023372, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.251450, ROLL: 0.014010, PITCH: 0.023372, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.304267, ROLL: 0.014010, PITCH: 0.023372, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.356920, ROLL: 0.014010, PITCH: 0.023372, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.409695, ROLL: 0.013935, PITCH: 0.023461, YAW: -0.000812, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.462314, ROLL: 0.013935, PITCH: 0.023461, YAW: -0.000812, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.515061, ROLL: 0.013935, PITCH: 0.023461, YAW: -0.000812, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
