TIME: 0.307439, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.312688, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.317882, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.323082, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.328237, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.333502, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.338697, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.343886, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.349042, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.354271, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.359442, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.364614, ROLL: 0.015473, PITCH: 0.010418, YAW: -0.000283, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
